,Country Code,Country Name,City,CDP_id,CDP_Date_measure,CDP_Latitude,CDP_Longitude,CDP_Altitude,CDP_GDP,CDP_Land_Area,CDP_Population,CDP_Temperature,CDP_EmissionsScope1,CDP_EmissionsScope2,CDP_EmissionsScope3,CDP_TotalEmissions,CDP_Total+Emissions,CDP_Gas_CH4,CDP_Gas_CO2,CDP_Gas_N20,CDP_Gas_HFCs,CDP_Gas_NF3,CDP_Gas_PFCs,CDP_Gas_SF6,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,GINI_GINI,POP_Population,GDP_GDP,GDP_Property Rights,GDP_Government Integrity,GDP_Judicial Effectiveness,GDP_Tax Burden,GDP_Government Spending,GDP_Fiscal Health,GDP_Business Freedom,GDP_Labor Freedom,GDP_Monetary Freedom,GDP_Trade Freedom,GDP_Investment Freedom,GDP_Financial Freedom,HDI_HDI,CDP_inconsistent,CDP_pct_change2,Emission_Population,Classif,CategClassif
68,CHE,Switzerland,Nyon,59160,2016.5,46.3833,6.2347800000000015,425.0,1922000000.0,6.8,20943.0,,95094.5,12591.0,156.0,107755.0,111790.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,38.181999999999995,-2.5780000000000003,-1.01,119.34899999999999,81.167,212.578,4.515,14.114,0.107,2916.84,0.185,,,,1.76,0.509,0.031,7.0889999999999995,28.618000000000002,0.17600000000000002,0.20800000000000002,0.06,0.004,0.838,3.384,0.021,0.004,0.235,0.1,0.008,0.11900000000000001,590.307,1984.0610000000001,203.725,1.136,131.332,0.079,0.35700000000000004,0.092,0.006999999999999999,0.341,,,,,,,,,,32.7,73.805,81.7,86.1,84.15,79.8,70.7,66.15,96.05,76.1,72.35,84.80000000000003,88.7,85.0,90.0,0.9490000000000001,0.0,0.03803211729459477,5.145155899345843,1,3
69,CHE,Switzerland,Zurich,35449,2013.333333333333,47.36860000000001,8.53918,408.0,105718500000.0,92.0,414591.66666666674,8.8,1095811.0,278946.0,,1849834.166666667,1374757.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,39.23716666666667,-2.164333333333333,-0.8931666666666667,121.2905,82.05333333333333,209.4946666666667,4.7156666666666665,14.572833333333335,0.1105,2858.488166666666,0.18733333333333332,0.078,0.23725,0.1205,1.7825,0.5455,0.031,6.892500000000001,29.804,0.18183333333333335,0.21416666666666664,0.06566666666666666,0.0036666666666666666,0.8276666666666667,3.582666666666667,0.02183333333333333,0.0038333333333333327,0.2498333333333333,0.1,0.008333333333333333,0.12166666666666665,589.4933333333332,1939.9858333333332,193.22850000000003,1.0911666666666666,128.6788333333333,0.08166666666666668,0.3606666666666667,0.09099999999999997,0.006999999999999999,0.3551666666666667,47.6675,5.78225,4.9325,0.5984999999999999,2.1925,0.266,332.96075,40396.28375,0.6465,32.68333333333333,73.73083333333334,81.21666666666667,88.51666666666668,85.03333333333335,79.85,69.93333333333334,65.63333333333333,95.85,77.33333333333333,78.13333333333334,85.85000000000002,90.0,84.16666666666667,83.33333333333333,0.9476666666666668,0.0,-0.05291766863815865,4.461821872927177,1,5
70,CHL,Chile,Santiago,31180,2012.833333333333,-33.4489,-70.6693,520.0,35990947356617.0,15403.0,7470587.5,14.0,18410034.95,8577740.0,2596311.0,22844528.133333337,,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5,82.88525,2.72775,2.15675,90.7865,7.9015,9.55375,4.5912500000000005,5.03025,0.23475,2507.0115,0.16525,0.21666666666666667,0.2383333333333333,0.19466666666666668,0.893,26.8275,0.14,9.57475,45.4495,,0.0495,1.4854999999999998,0.008,0.53025,2.51825,,0.184,0.38125,0.14,0.038500000000000006,0.06175,774.329,1343.78625,258.01425,78.4025,52.47924999999999,0.10775,0.251,0.1225,0.505,0.14625,1.53,0.08433333333333333,13.373333333333335,0.7466666666666666,6.9366666666666665,0.3873333333333333,423.663,23644.36366666667,1.112,44.86666666666667,87.4322,77.31666666666669,78.63333333333333,70.36666666666667,60.36666666666667,76.7,82.35000000000002,91.86666666666667,72.63333333333333,66.58333333333333,84.16666666666667,85.76666666666667,85.83333333333333,70.0,0.84,0.0,0.03740072459754303,3.057929263706949,1,2
71,CHL,Chile,Valdivia,54613,2013.0,,,,,,166080.0,,877816.0,0.0,31851.0,419319.0,643973.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.64299999999999,75.4,68.7,62.3,56.3,77.3,81.0,89.0,76.6,65.0,84.5,88.8,85.0,70.0,,0.0,0.0,2.5248013005780345,1,5
72,COL,Colombia,Beteitiva,848137,2019.0,,,,,124.0,1474.0,,12252.57,106.97,58.53,3639.89,12418.06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,61.1,46.1,32.8,70.4,77.0,85.5,71.3,78.0,77.5,81.2,80.0,70.0,,0.0,0.0,2.4693962008141113,1,5
73,COL,Colombia,Bogota,31154,2014.2,4.711,-74.0721,2645.5,17800025232103.0,1681.5,7929392.0,14.5,11202926.485,1110508.5,,15016718.538,,1.0,1.0,0.6,0.8,0.6,0.8,1.0,91.8966,3.326,2.3884,103.1732,11.2766,12.3624,1.9296,2.1672,0.2604,2960.115,0.1962,0.15675,0.17600000000000002,0.19125,5.2642,16.3458,1.018,22.6468,46.62179999999999,,0.1106,0.343,0.0214,0.4758,0.9792,,0.1118,0.3924,0.334,0.276,0.3618,651.9222000000002,1569.9356000000002,524.6706,55.99800000000001,157.5886,0.091,0.295,0.2514,0.3624,0.4428,206.1625,4.3565,73.8075,1.56025,20.6125,0.436,480.9365,10165.76,0.8187500000000001,51.3,79.7588,70.5,52.76000000000001,35.959999999999994,25.2,79.44000000000003,74.94,89.8,82.43999999999998,79.4,78.84,78.96,77.0,70.0,0.7548,0.0,0.04147344097010657,1.8938045360854907,1,2
74,COL,Colombia,Busbanza,848977,2019.0,,,,,2549.0,1156.0,,14977090.0,196490.0,94990.0,5822290.0,15268570.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,61.1,46.1,32.8,70.4,77.0,85.5,71.3,78.0,77.5,81.2,80.0,70.0,,0.0,0.0,5036.583044982699,0,1
75,COL,Colombia,Cali,36037,2011.5,3.4516400000000003,-76.532,,,,,,,,,4615846.279999998,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.4705,6.971,5.6125,102.60700000000001,12.136500000000002,13.4125,1.9355,2.196,0.2575,2822.5325000000007,0.19399999999999998,0.159,0.18,0.195,5.0335,13.8665,0.8925000000000001,22.886000000000006,47.7925,,0.1075,0.2965,0.019000000000000003,0.4900000000000001,1.0225,,0.09300000000000001,0.409,0.3485,0.2515,0.34600000000000003,625.19,1502.7615,490.7595,54.3735,149.4475,0.09,0.2925,0.2475,0.3650000000000001,0.447,196.47,4.2035,71.74,1.535,20.345,0.4355,464.4015,9936.554,0.8145,52.6,79.238,70.15,50.0,33.6,,78.35,75.05000000000003,,87.7,79.9,78.75,75.5,72.5,70.0,0.7475,0.0,-0.010479550613101185,,0,5
76,COL,Colombia,Corrales,848249,2019.0,,,,,60.85,2498.0,,8122.86,358.05,31231.24,6402.78,39712.14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,61.1,46.1,32.8,70.4,77.0,85.5,71.3,78.0,77.5,81.2,80.0,70.0,,0.0,0.0,2.563162530024019,1,5
77,COL,Colombia,Floresta,848978,2019.0,,,,,88.3,3231.0,,14977.09,196.49,94.99,5822.29,15268.57,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,61.1,46.1,32.8,70.4,77.0,85.5,71.3,78.0,77.5,81.2,80.0,70.0,,0.0,0.0,1.8020086660476633,1,5
