,Country Code,City,Year,Country Name,CDP_TotalEmissions,CDP_Longitude,CDP_Latitude,OWID_iso_code,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,OWID_population,OWID_gdp,GINI_GINI,POP_Population,GDP_GDP,HDI_HDI Rank,HDI_HDI,Temp_AvgTemperature,City_Longitude,City_Latitude,City_Population,City_Land_Area,City_HDI,City_GINI,City_Overall Score (GDP),City_Property Rights,City_Government Integrity,City_Judicial Effectiveness,City_Tax Burden,City_Government Spending,City_Fiscal Health,City_Business Freedom,City_Labor Freedom,City_Monetary Freedom,City_Trade Freedom,City_Investment Freedom,City_Financial Freedom
20,ARG,Chanar Ladeado,2019,Argentina,39023.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
21,ARG,Cordoba,2017,Argentina,5099175.0,-64.1888,-31.4201,ARG,187.416,-1.84,-3.514,194.793,7.377000000000002,3.936,4.266,4.433,0.525,7925.163,0.502,,,,4.029,4.279,1.806,96.442,80.859,,0.092,0.097,0.041,2.195,1.84,,0.03,0.664,1.356,0.447,0.273,527.688,4439.7959999999985,2594.186,178.94,184.554,0.071,0.7979999999999999,1.165,1.103,0.479,,,,,,,,,,43937000.0,,41.1,91.749,50.4,46.0,0.843,,,,,,,,,,,,,,,,,,,,
22,ARG,Cordoba,2018,Argentina,5099174.0,-64.1888,-31.4201,ARG,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,44361000.0,,41.3,91.87,52.3,46.0,0.8420000000000001,,,,,,,,,,,,,,,,,,,,
23,ARG,Cordoba,2019,Argentina,4814594.0,-64.1888,-31.4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
24,ARG,Correa,2019,Argentina,58070.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
25,ARG,Corrientes,2019,Argentina,791744.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
26,ARG,Cosquin,2019,Argentina,37604.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
27,ARG,Crespo,2019,Argentina,130575.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
28,ARG,Cruz Alta,2019,Argentina,27730.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
29,ARG,General Alvear Buenos Aires,2018,Argentina,395490.62,-67.6955,-34.978,ARG,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,44361000.0,,41.3,91.87,52.3,46.0,0.8420000000000001,,,,,,,,,,,,,,,,,,,,
30,ARG,General Alvear Buenos Aires,2019,Argentina,395490.62,-67.6955,-34.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
31,ARG,Godoy Cruz,2019,Argentina,443795.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
32,ARG,Guamini,2019,Argentina,794110.6799999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
33,ARG,Guaymallen,2019,Argentina,775221.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
34,ARG,Herrera,2019,Argentina,37701.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
35,ARG,Inriville,2019,Argentina,52603.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
36,ARG,Juana Koslay,2019,Argentina,44050.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
37,ARG,La Rioja,2019,Argentina,634302.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
38,ARG,Llambi Campbell,2019,Argentina,27505.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
39,ARG,Lobos,2019,Argentina,457265.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
40,ARG,Los Molles,2019,Argentina,3838.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
41,ARG,Malabrigo,2019,Argentina,49149.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
42,ARG,Mendoza,2018,Argentina,54024257.0,-68.8458,-32.8894,ARG,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,44361000.0,,41.3,91.87,52.3,46.0,0.8420000000000001,,-68.8458,-32.8894,115041.0,3694.7517170893043,0.8420000000000001,41.3,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0
43,ARG,Monte Buey,2019,Argentina,48468.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
44,ARG,Montecarlo,2019,Argentina,1007137.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
45,ARG,Moron,2019,Argentina,900594.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
46,ARG,Olavarria,2019,Argentina,3309377.7800000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
47,ARG,Oro Verde,2019,Argentina,159209.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
48,ARG,Patagones,2019,Argentina,664557.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
49,ARG,Perez,2019,Argentina,90153.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
50,ARG,Rauch,2019,Argentina,1149552.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
51,ARG,Reconquista,2019,Argentina,291756.19999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
52,ARG,Rio Grande,2017,Argentina,810086.0,-67.7002,-53.786,ARG,187.416,-1.84,-3.514,194.793,7.377000000000002,3.936,4.266,4.433,0.525,7925.163,0.502,,,,4.029,4.279,1.806,96.442,80.859,,0.092,0.097,0.041,2.195,1.84,,0.03,0.664,1.356,0.447,0.273,527.688,4439.7959999999985,2594.186,178.94,184.554,0.071,0.7979999999999999,1.165,1.103,0.479,,,,,,,,,,43937000.0,,41.1,91.749,50.4,46.0,0.843,,,,,,,,,,,,,,,,,,,,
53,ARG,Rio Grande,2018,Argentina,981954.0,-67.7002,-53.786,ARG,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,44361000.0,,41.3,91.87,52.3,46.0,0.8420000000000001,,,,,,,,,,,,,,,,,,,,
54,ARG,Rio Grande,2019,Argentina,981954.0,-67.7002,-53.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
55,ARG,Rio Grande,2020,Argentina,981954.0,-67.7002,-53.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,,,,,,,,,,,,,,,,,,,
